"name","male_offspring","female_offspring","sport","checked"
"Abdil Ceylan",NA,NA,"maration",FALSE
"José Ríos",NA,NA,"maration",FALSE
"Hem Bunting",NA,NA,"maration",FALSE
"Pavel Loskutov",NA,NA,"maration",FALSE
"Atsushi Sato",NA,NA,"maration",FALSE
"Tesfayohannes Mesfen",NA,NA,"maration",FALSE
"Julio Rey",NA,NA,"maration",FALSE
"Martin Fagan",NA,NA,"maration",FALSE
"Al Mustafa Riyadh",NA,NA,"maration",FALSE
"Marilson dos Santos",NA,NA,"maration",FALSE
"Luke Kibet",NA,NA,"maration",FALSE
"Abdulhak Elgorche Zakaria",NA,NA,"maration",FALSE
"Luis Fonseca",NA,NA,"maration",FALSE
"Franck de Almeida",NA,NA,"maration",FALSE
"Andrei Gordeev",NA,NA,"maration",FALSE
"João N'Tyamba",NA,NA,"maration",FALSE
"Moses Moeketsi Mosuhli",NA,NA,"maration",FALSE
"Getuli Bayo",NA,NA,"maration",FALSE
"Mubarak Hassan Shami",NA,NA,"maration",FALSE
"Simon Tsotang Maine",NA,NA,"maration",FALSE
"Clement Mabothile Lebopo",NA,NA,"maration",FALSE
"Olexandr Kuzin",NA,NA,"maration",FALSE
"Mohamed Ikoki Msandeki",NA,NA,"maration",FALSE
"Satoshi Osaki",NA,NA,"maration",FALSE
"Vanderlei de Lima",NA,NA,"maration",FALSE
"Jon Brown",NA,NA,"maration",FALSE
"Shigeru Aburaya",NA,NA,"maration",FALSE
"Toshinari Suwa",NA,NA,"maration",FALSE
"Erick Wainaina",NA,NA,"maration",FALSE
"Alberto Chaíça",NA,NA,"maration",FALSE
"Alberico di Cecco",NA,NA,"maration",FALSE
"Paul Tergat",NA,NA,"maration",FALSE
"Alan Culpepper",NA,NA,"maration",FALSE
"Leonid Shvetsov",NA,NA,"maration",FALSE
"Lee Bong-ju",NA,NA,"maration",FALSE
"Ambesse Tolosa",NA,NA,"maration",FALSE
"Gert Thys",NA,NA,"maration",FALSE
"Ji Young-joon",NA,NA,"maration",FALSE
"Antoni Peña",NA,NA,"maration",FALSE
"Haile Satayin",NA,NA,"maration",FALSE
"Jonathan Wyatt",NA,NA,"maration",FALSE
"Janne Holmen",NA,NA,"maration",FALSE
"Nikolaos Polias",NA,NA,"maration",FALSE
"José Rios",NA,NA,"maration",FALSE
"Michael Buchleitner",NA,NA,"maration",FALSE
"Dale Warrender",NA,NA,"maration",FALSE
"Waldemar Glinka",NA,NA,"maration",FALSE
"Jong Myong-chol",NA,NA,"maration",FALSE
"El-Hassan Lahssini",NA,NA,"maration",FALSE
"Michał Bartoszak",NA,NA,"maration",FALSE
"Ahmed Jumaa Jaber",NA,NA,"maration",FALSE
"Lee Myong-seung",NA,NA,"maration",FALSE
"Tomoaki Kunichika",NA,NA,"maration",FALSE
"José Alirio Carrasco",NA,NA,"maration",FALSE
"Ernest Ndjissipou",NA,NA,"maration",FALSE
"Nicholas Harrison",NA,NA,"maration",FALSE
"Tereje Wodajo",NA,NA,"maration",FALSE
"Aguelmis Rojas",NA,NA,"maration",FALSE
"Abel Chimukoko",NA,NA,"maration",FALSE
"Saïd Belhout",NA,NA,"maration",FALSE
"Matthew O'Dowd",NA,NA,"maration",FALSE
"Daniele Caimmi",NA,NA,"maration",FALSE
"Wu Wen-chien",NA,NA,"maration",FALSE
"Antoni Bernado",NA,NA,"maration",FALSE
"Asaf Bimro",NA,NA,"maration",FALSE
"Sisay Bezabeh",NA,NA,"maration",FALSE
"Silvio Guerra",NA,NA,"maration",FALSE
"Mathias Ntawulikura",NA,NA,"maration",FALSE
"Róbert Štefko",NA,NA,"maration",FALSE
"Dan Browne",NA,NA,"maration",FALSE
"Han Gang",NA,NA,"maration",FALSE
"Eduardo Buenavista",NA,NA,"maration",FALSE
"Driss El Himer",NA,NA,"maration",FALSE
"Andrés Espinosa",NA,NA,"maration",FALSE
"Mpesela Ntlot Soeu",NA,NA,"maration",FALSE
"José Ernani Palalia",NA,NA,"maration",FALSE
"Dmitriy Burmakin",NA,NA,"maration",FALSE
"Mindaugas Pukštas",NA,NA,"maration",FALSE
"Zhu Ronghua",NA,NA,"maration",FALSE
"Alfredo Arevalo",NA,NA,"maration",FALSE
"António Zeferino",NA,NA,"maration",FALSE
"Valery Pisarev",NA,NA,"maration",FALSE
"Zepherinus Joseph",NA,NA,"maration",FALSE
"Marcel Matanin",NA,NA,"maration",FALSE
"Zebedayo Bayo",NA,NA,"maration",FALSE
"Hailu Negussie",NA,NA,"maration",FALSE
"Rômulo Wagner",NA,NA,"maration",FALSE
"Ian Syster",NA,NA,"maration",FALSE
"Zsolt Bácskai",NA,NA,"maration",FALSE
"Azat Rakipov",NA,NA,"maration",FALSE
"Dmytro Baranovskyy",NA,NA,"maration",FALSE
"Rachid Ghanmouni",NA,NA,"maration",FALSE
"Rachid Ziar",NA,NA,"maration",FALSE
"Mustapha Bennacer",NA,NA,"maration",FALSE
"André Luiz Ramos",NA,NA,"maration",FALSE
"Khalid El Boumlili",NA,NA,"maration",FALSE
"John Nada Saya",NA,NA,"maration",FALSE
"Gil da Cruz Trindade",NA,NA,"maration",FALSE
"Jean-Paul Gahimbaré",NA,NA,"maration",FALSE
"Luc Krotwaar",NA,NA,"maration",FALSE
" Gezahegne Abera (ETH)",NA,NA,"maration",FALSE
" Erick Wainaina (KEN)",NA,NA,"maration",FALSE
" Tesfaye Tola (ETH)",NA,NA,"maration",FALSE
" Jon Brown (GBR)",NA,NA,"maration",FALSE
" Giacomo Leone (ITA)",NA,NA,"maration",FALSE
" Martín Fiz (ESP)",NA,NA,"maration",FALSE
" Abdelkader El Mouaziz (MAR)",NA,NA,"maration",FALSE
" Mohamed Ouaadi (FRA)",NA,NA,"maration",FALSE
" Tendai Chimusasa (ZIM)",NA,NA,"maration",FALSE
" Steve Moneghetti (AUS)",NA,NA,"maration",FALSE
" António Pinto (POR)",NA,NA,"maration",FALSE
" Hendrick Ramaala (RSA)",NA,NA,"maration",FALSE
" Kamiel Maase (NED)",NA,NA,"maration",FALSE
" Silvio Guerra (ECU)",NA,NA,"maration",FALSE
" Mathias Ntawulikura (RWA)",NA,NA,"maration",FALSE
" Thabiso Moqhali (LES)",NA,NA,"maration",FALSE
" João N'Tyamba (ANG)",NA,NA,"maration",FALSE
" Domingos Castro (POR)",NA,NA,"maration",FALSE
" Keith Cullen (GBR)",NA,NA,"maration",FALSE
" Josia Thugwane (RSA)",NA,NA,"maration",FALSE
" Shinji Kawashima (JPN)",NA,NA,"maration",FALSE
" Simretu Alemayehu (ETH)",NA,NA,"maration",FALSE
" Kamal Kohil (ALG)",NA,NA,"maration",FALSE
" Lee Bong-Ju (KOR)",NA,NA,"maration",FALSE
" Greg van Hest (NED)",NA,NA,"maration",FALSE
" Pavel Kokin (RUS)",NA,NA,"maration",FALSE
" Andrés Espinosa (MEX)",NA,NA,"maration",FALSE
" Roderic De Highden (AUS)",NA,NA,"maration",FALSE
" Kim Jung-Won (PRK)",NA,NA,"maration",FALSE
" Kim Jong-Chol (PRK)",NA,NA,"maration",FALSE
" Pamenos Ballantyne (VIN)",NA,NA,"maration",FALSE
" Ronnie Holassie (TRI)",NA,NA,"maration",FALSE
" Michael Buchleitner (AUT)",NA,NA,"maration",FALSE
" Dmitriy Kapitonov (RUS)",NA,NA,"maration",FALSE
" Pavel Loskutov (EST)",NA,NA,"maration",FALSE
" Viktor Röthlin (SUI)",NA,NA,"maration",FALSE
" Michael Fietz (GER)",NA,NA,"maration",FALSE
" Tahar Mansouri (TUN)",NA,NA,"maration",FALSE
" José Luis Molina (CRC)",NA,NA,"maration",FALSE
" Carlos Tarazona (VEN)",NA,NA,"maration",FALSE
" Nobuyuki Sato (JPN)",NA,NA,"maration",FALSE
" Alberto Juzdado (ESP)",NA,NA,"maration",FALSE
" Johannes Maremane (RSA)",NA,NA,"maration",FALSE
" Bruce Deacon (CAN)",NA,NA,"maration",FALSE
" Chung Nam-Kyun (KOR)",NA,NA,"maration",FALSE
" Néstor García (URU)",NA,NA,"maration",FALSE
" Ahmed Abdelmougod Soliman (EGY)",NA,NA,"maration",FALSE
" Luketz Swartbooi (NAM)",NA,NA,"maration",FALSE
" Antoni Bernadó (AND)",NA,NA,"maration",FALSE
" Luís Novo (POR)",NA,NA,"maration",FALSE
" Lucky Bhembe (SWZ)",NA,NA,"maration",FALSE
" Boubker Elafoui (MAR)",NA,NA,"maration",FALSE
" Abel Antón (ESP)",NA,NA,"maration",FALSE
" Carsten Eich (GER)",NA,NA,"maration",FALSE
" Valeriu Vlas (MDA)",NA,NA,"maration",FALSE
" Mark Steinle (GBR)",NA,NA,"maration",FALSE
" Alex Malinga (UGA)",NA,NA,"maration",FALSE
" Oscar Cortínez (ARG)",NA,NA,"maration",FALSE
" Kil Jae-Son (PRK)",NA,NA,"maration",FALSE
" Petko Stefanov (BUL)",NA,NA,"maration",FALSE
" Zebedayo Bayo (TAN)",NA,NA,"maration",FALSE
" Roman Kejžar (SLO)",NA,NA,"maration",FALSE
" Panayiotis Haramis (GRE)",NA,NA,"maration",FALSE
" Benjamín Paredes (MEX)",NA,NA,"maration",FALSE
" Baek Seung-Do (KOR)",NA,NA,"maration",FALSE
" Lee Troop (AUS)",NA,NA,"maration",FALSE
" António Zeferino (CPV)",NA,NA,"maration",FALSE
" Sergey Zabavski (TJK)",NA,NA,"maration",FALSE
" Rod DeHaven (USA)",NA,NA,"maration",FALSE
" Nazirdin Akylbekov (KGZ)",NA,NA,"maration",FALSE
" Calisto da Costa (IOA)",NA,NA,"maration",FALSE
" Marco Ivan Condori (BOL)",NA,NA,"maration",FALSE
" Sarath Prasanna Gamage (SRI)",NA,NA,"maration",FALSE
" Gian Luigi Macina (SMR)",NA,NA,"maration",FALSE
" Vanderlei Lima (BRA)",NA,NA,"maration",FALSE
" Željko Petrović (BIH)",NA,NA,"maration",FALSE
" Tiyapo Maso (BOT)",NA,NA,"maration",FALSE
" Ðuro Kodžo (BIH)",NA,NA,"maration",FALSE
" José Alejandro Semprún (VEN)",NA,NA,"maration",FALSE
" To Rithya (CAM)",NA,NA,"maration",FALSE
" Elias Rodriguez (FSM)",NA,NA,"maration",FALSE
" Takayuki Inubushi (JPN)",NA,NA,"maration",FALSE
" Kenneth Cheruiyot (KEN)",NA,NA,"maration",FALSE
" Willy Kalombo Mwenze (COD)",NA,NA,"maration",FALSE
" Abdellah Béhar (FRA)",NA,NA,"maration",FALSE
" Stefano Baldini (ITA)",NA,NA,"maration",FALSE
" Elijah Lagat (KEN)",NA,NA,"maration",FALSE
" Piotr Gładki (POL)",NA,NA,"maration",FALSE
" Patrick Ndayisenga (BDI)",NA,NA,"maration",FALSE
" José Alirio Carrasco (COL)",NA,NA,"maration",FALSE
" Angelo Peter Simon (TAN)",NA,NA,"maration",FALSE
" Róbert Štefko (SVK)",NA,NA,"maration",FALSE
