name,country,result,event,male_offspring,female_offspring,source,comment,result_source,,,rank
Jose Luis Rubiera,Spain,NA,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France,,,19
Didier Rous,France,NA,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France,,,20
Laurent Dufaux,Switzerland,NA,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France,,,21
Lance Armstrong,United States,NA,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France,,,1
Andreas Kloden,Germany,NA,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France,,,2
Ivan Basso,Italy,NA,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France,,,3
Jan Ullrich,Germany,NA,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France,,,4
Jose Azevedo,Portugal,NA,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France,,,5
Francisco Mancebo,Spain,NA,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France,,,6
Georg Totschnig,Austria,NA,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France,,,7
Carlos Sastre,Spain,NA,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France,,,8
Levi Leipheimer,United States,NA,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France,,,9
Oscar Pereiro,Spain,NA,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France,,,10
Pietro Caucchioli,Italy,NA,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France,,,11
Christophe Moreau,France,NA,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France,,,12
Vladimir Karpets,Russia,NA,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France,,,13
Michael Rasmussen,Denmark,NA,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France,,,14
Richard Virenque,France,NA,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France,,,15
Sandy Casar,France,NA,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France,,,16
Gilberto Simoi,Italy,NA,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France,,,17
Thomas Voeckler,France,NA,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France,,,18
Jose Luis Rubiera,Spain,NA,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France,,,19
Stephane Goubert,France,NA,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France,,,20
Axel Merckx,Belgium,NA,tour_de_france_2004,,,,,https://en.wikipedia.org/wiki/2004_Tour_de_France,,,21
Lance Armstrong,United States,NA,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France,,,1
Ivan Basso,Italy,NA,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France,,,2
Jan Ullrich,Germany,NA,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France,,,3
Francisco Mancebo,Spain,NA,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France,,,4
Alexander Vinokourov,Kazakhstan,NA,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France,,,5
Levi Leipheimer,United States,NA,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France,,,6
Michael Rasmussen,Denmark,NA,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France,,,7
Cadel Evans,Australia ,NA,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France,,,8
Floyd Landis,United States,NA,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France,,,9
Oscar Pereiro,Spain,NA,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France,,,10
Christophe Moreau,France,NA,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France,,,11
Yaroslav Popovych,Ukraine,NA,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France,,,12
Eddy Mazzoleni,Italy,NA,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France,,,13
George Hincapie,United States,NA,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France,,,14
Haimar Zubeldia,Haimar Zubeldia,NA,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France,,,15
Jorg Jaksche,Germany,NA,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France,,,16
Bobby Julich,United States,NA,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France,,,17
Oscar Sevilla,Spain,NA,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France,,,18
Andrey Kashechkin,Kazakhstan,NA,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France,,,19
Giuseppe Guerini,Italy,NA,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France,,,20
Carlos Sastre,Spain,NA,tour_de_france_2005,,,,,https://en.wikipedia.org/wiki/2005_Tour_de_France,,,21
Floyd Landis,United States,NA,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France,,,1
Oscar Pereiro,Spain,NA,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France,,,2
Andreas Kloden,Germany,NA,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France,,,3
Carlos Sastre,Spain,NA,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France,,,4
Cadel Evans,Australia ,NA,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France,,,5
Denis Menchov,Russia,NA,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France,,,6
Cyril Dessel,France,NA,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France,,,7
Christophe Moreau,France,NA,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France,,,8
Haimar Zubeldia,Spain,NA,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France,,,9
Michael Rogers,Australia ,NA,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France,,,10
Frank Schleck,Luxemborg,NA,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France,,,11
Damiano Cunego,Italy,NA,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France,,,12
Levi Leipheimer,United States,NA,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France,,,13
Michael Boogerd,Netherlands,NA,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France,,,14
Markus Fothen,Germany,NA,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France,,,15
Pietro Caucchioli,Italy,NA,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France,,,16
Tadej Valjavec,Slovenia,NA,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France,,,17
Michael Rasmussen,Denmark,NA,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France,,,18
Jose Azevedo,Portugal,NA,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France,,,19
Marzio Bruseghin,Italy,NA,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France,,,20
David Arroyo,Spain,NA,tour_de_france_2006,,,,,https://en.wikipedia.org/wiki/2006_Tour_de_France,,,21
Alberto Contado,Spain,NA,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007,,,1
Cadel Evans,Australia ,NA,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007,,,2
Levi Leipheimer,United States,NA,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007,,,3
Carlos Sastre,Spain,NA,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007,,,4
Haimar Zubeldia,Spain,NA,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007,,,5
Alejandro Valverde,Spain,NA,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007,,,6
Kim Kirchen,Netherlands,NA,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007,,,7
Yaroslav Popovych,Ukraine,NA,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007,,,8
Mikel Astarloza,Spain,NA,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007,,,9
Oscar Pereiro,Spain,NA,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007,,,10
Juan Mauricio Soler,Colombia,NA,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007,,,11
Michael Boogerd,Netherlands,NA,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007,,,12
David Arroyo,Spain,NA,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007,,,13
Vladimir Karpets,Russia,NA,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007,,,14
Chris Horner,United States,NA,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007,,,15
Iban Mayo,Spain,NA,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007,,,16
Frank Schleck,Netherlands,NA,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007,,,17
Manuel Beltran,Spain,NA,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007,,,18
Tadej Valjavec,Slovenia,NA,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007,,,19
Jose Juan Cobo,Spain,NA,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007,,,20
Juan Manuel Garate,Spain,NA,tour_de_france_2007,,,,,http://www.procyclingstats.com/race/Tour_de_France_2007,,,21
Carlos Sastre,Spain,NA,tour_de_france_2008,,,,,https://en.wikipedia.org/wiki/2008_Tour_de_France,,,1
Cadel Evans,Australia ,NA,tour_de_france_2008,,,,,https://en.wikipedia.org/wiki/2008_Tour_de_France,,,2
Denis Menchov,Russia,NA,tour_de_france_2008,,,,,https://en.wikipedia.org/wiki/2008_Tour_de_France,,,3
Christian Vande Velde,United States,NA,tour_de_france_2008,,,,,https://en.wikipedia.org/wiki/2008_Tour_de_France,,,4
Frank Schleck,Luxemborg,NA,tour_de_france_2008,,,,,https://en.wikipedia.org/wiki/2008_Tour_de_France,,,5
Samuel Sanchez,Spain,NA,tour_de_france_2008,,,,,https://en.wikipedia.org/wiki/2008_Tour_de_France,,,6
Kim Kirchen,Luxemborg,NA,tour_de_france_2008,,,,,https://en.wikipedia.org/wiki/2008_Tour_de_France,,,7
Alejandro Valverde,Spain,NA,tour_de_france_2008,,,,,https://en.wikipedia.org/wiki/2008_Tour_de_France,,,8
Tadej Valjavec,Slovenia,NA,tour_de_france_2008,,,,,https://en.wikipedia.org/wiki/2008_Tour_de_France,,,9
Valdimir Efimkin,Russia,NA,tour_de_france_2008,,,,,https://en.wikipedia.org/wiki/2008_Tour_de_France,,,10
Vladimir Karpets,Russia,NA,tour_de_france_2008,,,,,https://en.wikipedia.org/wiki/2008_Tour_de_France,,,11
Andy Schleck,Luxemborg,NA,tour_de_france_2008,,,,,https://en.wikipedia.org/wiki/2008_Tour_de_France,,,12
Roman Kreuziger,Czech Republic,NA,tour_de_france_2008,,,,,https://en.wikipedia.org/wiki/2008_Tour_de_France,,,13
Sandy Casar,France,NA,tour_de_france_2008,,,,,https://en.wikipedia.org/wiki/2008_Tour_de_France,,,14
Amael Moinard,France,NA,tour_de_france_2008,,,,,https://en.wikipedia.org/wiki/2008_Tour_de_France,,,15
Mikel Astarloza,Spain,NA,tour_de_france_2008,,,,,https://en.wikipedia.org/wiki/2008_Tour_de_France,,,16
Kanstantsin Sivtsov,Belaruse,NA,tour_de_france_2008,,,,,https://en.wikipedia.org/wiki/2008_Tour_de_France,,,17
Alexander Bocharov,Russia,NA,tour_de_france_2008,,,,,https://en.wikipedia.org/wiki/2008_Tour_de_France,,,18
Vincenzo Nibali,Italy,NA,tour_de_france_2008,,,,,https://en.wikipedia.org/wiki/2008_Tour_de_France,,,19
Stephane Goubert,France,NA,tour_de_france_2008,,,,,https://en.wikipedia.org/wiki/2008_Tour_de_France,,,20
Laurens Ten Dam,Netherlands,NA,tour_de_france_2008,,,,,https://en.wikipedia.org/wiki/2008_Tour_de_France,,,21
Alberto Contado,Spain,NA,tour_de_france_2009,,,,,https://en.wikipedia.org/wiki/2009_Tour_de_France,,,1
Andy Schleck,Luxemborg,NA,tour_de_france_2009,,,,,https://en.wikipedia.org/wiki/2009_Tour_de_France,,,2
Lance Armstrong,United States,NA,tour_de_france_2009,,,,,https://en.wikipedia.org/wiki/2009_Tour_de_France,,,3
Bradley Wiggins,Great Britain,NA,tour_de_france_2009,,,,,https://en.wikipedia.org/wiki/2009_Tour_de_France,,,4
Frank Schleck,Luxemborg,NA,tour_de_france_2009,,,,,https://en.wikipedia.org/wiki/2009_Tour_de_France,,,5
Andreas Kloden,Germany,NA,tour_de_france_2009,,,,,https://en.wikipedia.org/wiki/2009_Tour_de_France,,,6
Vincenzo Nibali,Italy,NA,tour_de_france_2009,,,,,https://en.wikipedia.org/wiki/2009_Tour_de_France,,,7
Christian Vande Velde,United States,NA,tour_de_france_2009,,,,,https://en.wikipedia.org/wiki/2009_Tour_de_France,,,8
Roman Kreuziger,Czech Republic,NA,tour_de_france_2009,,,,,https://en.wikipedia.org/wiki/2009_Tour_de_France,,,10
Christophe Le Mevel,France,NA,tour_de_france_2009,,,,,https://en.wikipedia.org/wiki/2009_Tour_de_France,,,11
Sandy Casar,France,NA,tour_de_france_2009,,,,,https://en.wikipedia.org/wiki/2009_Tour_de_France,,,12
Vladimir Karpets,Russia,NA,tour_de_france_2009,,,,,https://en.wikipedia.org/wiki/2009_Tour_de_France,,,13
Rinaldo Nocentini,Italy,NA,tour_de_france_2009,,,,,https://en.wikipedia.org/wiki/2009_Tour_de_France,,,14
Stephane Goubert,France,NA,tour_de_france_2009,,,,,https://en.wikipedia.org/wiki/2009_Tour_de_France,,,15
Carlos Sastre,Spain,NA,tour_de_france_2009,,,,,https://en.wikipedia.org/wiki/2009_Tour_de_France,,,16
Alexander Bocharov,Russia,NA,tour_de_france_2009,,,,,https://en.wikipedia.org/wiki/2009_Tour_de_France,,,17
George Hincapie,United States,NA,tour_de_france_2009,,,,,https://en.wikipedia.org/wiki/2009_Tour_de_France,,,18
Sylvain Chavanel,France,NA,tour_de_france_2009,,,,,https://en.wikipedia.org/wiki/2009_Tour_de_France,,,19
